Repo Name,Title,Comments,URL,Date Created,Date Closed,State,Type,Days to Close
epishiny,"Test app on other datasets",2,https://github.com/epiverse-trace/epishiny/issues/4,2023-09-20T08:28:28Z,null,open,Issue,N/A
epishiny,"Include options on person tab",3,https://github.com/epiverse-trace/epishiny/issues/3,2023-09-20T08:27:07Z,null,open,Issue,N/A
epishiny,"Refine CFR estimation",0,https://github.com/epiverse-trace/epishiny/issues/2,2023-09-20T08:26:05Z,null,open,Issue,N/A
episoap,"what is the difference between `orderly2` and `episoap`?",1,https://github.com/epiverse-trace/episoap/issues/122,2024-01-23T12:56:02Z,2024-01-25T12:56:47Z,closed,Issue,2
episoap,"`git-lfs` dependency not documented",1,https://github.com/epiverse-trace/episoap/issues/121,2024-01-22T14:54:35Z,null,open,Issue,N/A
episoap,"Changing content of the output of `episoap` templates",4,https://github.com/epiverse-trace/episoap/issues/120,2024-01-15T14:38:55Z,null,open,Issue,N/A
episoap,"Add lint-changed-files GHA workflow",0,https://github.com/epiverse-trace/episoap/pull/119,2024-01-11T16:23:21Z,2024-01-24T10:36:06Z,closed,Pull Request,12
episoap,"Errors with `regional_epinow`",2,https://github.com/epiverse-trace/episoap/issues/118,2024-01-09T15:01:33Z,null,open,Issue,N/A
episoap,"Preparing data for {EpiNow2} ",1,https://github.com/epiverse-trace/episoap/issues/117,2024-01-08T16:12:55Z,null,open,Issue,N/A
episoap,"Do not trigger test report CI more than necessary",0,https://github.com/epiverse-trace/episoap/pull/116,2023-12-12T17:23:47Z,2023-12-12T17:25:37Z,closed,Pull Request,0
episoap,"Extracting parameters on the transmissibility template",7,https://github.com/epiverse-trace/episoap/issues/115,2023-12-11T17:47:32Z,null,open,Issue,N/A
episoap,"What to do if parameterised distributions are not on {epiparameter}?",4,https://github.com/epiverse-trace/episoap/issues/114,2023-12-11T17:34:36Z,2024-01-08T14:35:34Z,closed,Issue,27
episoap,"Distributions in Rt estimation using {EpiNow2}",9,https://github.com/epiverse-trace/episoap/issues/113,2023-12-08T16:57:19Z,null,open,Issue,N/A
episoap,"Creating epidist objects allowing flexibility for distribution parameters",13,https://github.com/epiverse-trace/episoap/issues/112,2023-12-07T17:32:30Z,null,open,Issue,N/A
episoap,"Try adding report testing to CI",1,https://github.com/epiverse-trace/episoap/pull/111,2023-12-07T15:20:21Z,2023-12-12T16:45:56Z,closed,Pull Request,5
episoap,"Remove deprecated select_tags() function",0,https://github.com/epiverse-trace/episoap/pull/110,2023-12-07T15:07:20Z,2023-12-07T15:19:54Z,closed,Pull Request,0
episoap,"Distributions for parameters from {epiparameter} vs manual input in transmissibility report",10,https://github.com/epiverse-trace/episoap/issues/109,2023-12-07T14:30:58Z,null,open,Issue,N/A
episoap,"Allowing flexibility for probability distributions in transmissibility template",2,https://github.com/epiverse-trace/episoap/issues/108,2023-12-06T15:10:26Z,2023-12-06T16:19:28Z,closed,Issue,0
episoap,"Plotting SI with negative values in {episoap} templates",5,https://github.com/epiverse-trace/episoap/issues/107,2023-12-05T15:56:21Z,null,open,Issue,N/A
episoap,"What should the maximum number of parameters on {episoap} templates be?",0,https://github.com/epiverse-trace/episoap/issues/106,2023-12-05T13:24:07Z,null,open,Issue,N/A
episoap,"Consider `report::cite_packages()` as an alternative to `grateful::cite_packages()`",0,https://github.com/epiverse-trace/episoap/issues/105,2023-12-05T11:47:34Z,null,open,Issue,N/A
episoap,"Update .lintr",0,https://github.com/epiverse-trace/episoap/pull/104,2023-12-04T15:06:03Z,2023-12-04T15:08:51Z,closed,Pull Request,0
episoap,"Update .lintr",0,https://github.com/epiverse-trace/episoap/pull/103,2023-12-04T13:26:10Z,2023-12-04T14:18:18Z,closed,Pull Request,0
episoap,"Update lockfiles",1,https://github.com/epiverse-trace/episoap/pull/102,2023-12-04T13:10:19Z,2023-12-06T14:50:12Z,closed,Pull Request,2
episoap,"Add short gifs or videos for the GUI interaction",2,https://github.com/epiverse-trace/episoap/issues/101,2023-11-30T08:28:01Z,null,open,Issue,N/A
episoap,"Update {epiparameter} usage",2,https://github.com/epiverse-trace/episoap/pull/100,2023-11-28T13:25:40Z,null,open,Pull Request,N/A
episoap,"Error when knitting template- renv?",10,https://github.com/epiverse-trace/episoap/issues/99,2023-11-28T12:15:14Z,2024-01-10T08:20:00Z,closed,Issue,42
episoap,"Warn on partial matching in tests & run tests in parallel",1,https://github.com/epiverse-trace/episoap/pull/98,2023-08-01T15:03:10Z,2023-08-01T15:32:58Z,closed,Pull Request,0
episoap,"{renv} integration (user experience on system requiring source packages)",1,https://github.com/epiverse-trace/episoap/issues/97,2023-06-15T09:40:01Z,null,open,Issue,N/A
episoap,"Provide mechanism to consolidate several pipelines into a single report",2,https://github.com/epiverse-trace/episoap/issues/96,2023-06-14T15:15:38Z,null,open,Issue,N/A
episoap,"Split pipelines as smallest units for a given task",0,https://github.com/epiverse-trace/episoap/issues/95,2023-06-14T15:11:40Z,null,open,Issue,N/A
episoap,"Investigate ggautomap for descriptive statistics pipeline",0,https://github.com/epiverse-trace/episoap/issues/94,2023-06-07T12:45:32Z,null,open,Issue,N/A
episoap,"Add release item reminding to bump episoap versio number",0,https://github.com/epiverse-trace/episoap/pull/93,2023-05-29T08:10:58Z,2023-05-29T08:13:49Z,closed,Pull Request,0
epiverse,"Add vignette for dependency visualisation",0,https://github.com/epiverse-trace/epiverse/pull/2,2023-12-05T14:44:53Z,2023-12-07T07:48:23Z,closed,Pull Request,1
epiverse,"Add network visualisation of external & internal package dependencies across Epiverse-TRACE",0,https://github.com/epiverse-trace/epiverse/issues/1,2023-12-04T18:06:41Z,2023-12-07T07:48:25Z,closed,Issue,2
epiverse-trace.github.io,"Add interoperability slides",1,https://github.com/epiverse-trace/epiverse-trace.github.io/pull/165,2024-01-23T15:18:27Z,2024-01-24T09:19:08Z,closed,Pull Request,0
epiverse-trace.github.io,"add link to git-rstudio-basics tutorial",3,https://github.com/epiverse-trace/epiverse-trace.github.io/pull/164,2024-01-16T11:46:48Z,null,open,Pull Request,N/A
epiverse-trace.github.io,"Import lint-changed-quarto workflow from .github",1,https://github.com/epiverse-trace/epiverse-trace.github.io/pull/161,2024-01-09T17:05:07Z,2024-01-09T17:05:17Z,closed,Pull Request,0
epiverse-trace.github.io,"simulist v0.1.0 automated release blog post",2,https://github.com/epiverse-trace/epiverse-trace.github.io/pull/160,2024-01-08T23:35:09Z,2024-01-09T11:07:45Z,closed,Pull Request,0
epiverse-trace.github.io,"Clarify steps for contributing blog posts",0,https://github.com/epiverse-trace/epiverse-trace.github.io/issues/159,2024-01-04T19:14:19Z,null,open,Issue,N/A
epiverse-trace.github.io,"Automated release blog post",1,https://github.com/epiverse-trace/epiverse-trace.github.io/pull/158,2023-12-20T23:35:17Z,2023-12-21T09:09:50Z,closed,Pull Request,0
epiverse-trace.github.io,"Create landing page for training materials",1,https://github.com/epiverse-trace/epiverse-trace.github.io/pull/157,2023-12-12T12:12:37Z,null,open,Pull Request,N/A
epiverse-trace.github.io,"Add netlify config files",1,https://github.com/epiverse-trace/epiverse-trace.github.io/pull/156,2023-12-11T10:10:15Z,2023-12-11T10:16:02Z,closed,Pull Request,0
epiverse-trace.github.io,"Fix typos in nov 2023 showcase",1,https://github.com/epiverse-trace/epiverse-trace.github.io/pull/155,2023-12-11T09:33:19Z,2023-12-11T10:21:40Z,closed,Pull Request,0
epiverse-trace.github.io,"Blog post on potential issues while using renv",3,https://github.com/epiverse-trace/epiverse-trace.github.io/pull/154,2023-12-07T11:43:20Z,null,open,Pull Request,N/A
epiverse-trace.github.io,"Autumn showcase",3,https://github.com/epiverse-trace/epiverse-trace.github.io/pull/153,2023-12-07T10:37:10Z,2023-12-08T21:50:55Z,closed,Pull Request,1
epiverse-trace.github.io,"Add page for November 2023 showcase",1,https://github.com/epiverse-trace/epiverse-trace.github.io/issues/150,2023-12-06T06:42:24Z,2023-12-08T21:51:23Z,closed,Issue,2
epiverse-trace.github.io,"Add a 'team' and a 'people' page",1,https://github.com/epiverse-trace/epiverse-trace.github.io/issues/149,2023-11-30T20:04:01Z,null,open,Issue,N/A
